opponent,TotaldefZscore
A&M-Corpus Christi,-4.455981871390689
A&M-Corpus Christi,2.7883960228535414
A&M-Corpus Christi,-0.18037127177765733
A&M-Corpus Christi,-1.9889117013698543
A&M-Corpus Christi,-0.5561196195576016
A&M-Corpus Christi,0.13634070009679
A&M-Corpus Christi,1.173464035831749
A&M-Corpus Christi,4.155561942712962
A&M-Corpus Christi,-3.451519292003443
A&M-Corpus Christi,-1.1004142028236505
A&M-Corpus Christi,0.9133275601257071
A&M-Corpus Christi,0.0013393679493720612
A&M-Corpus Christi,-0.44857721606930845
A&M-Corpus Christi,1.3030221102194015
Abilene Christian,-4.667858978421359
Abilene Christian,0.8718568326351379
Abilene Christian,4.277135739711572
Abilene Christian,-4.236631722796513
Abilene Christian,-0.6033514758307625
Abilene Christian,-0.38320182665293223
Abilene Christian,-1.3250470931307994
Abilene Christian,1.727720177293766
Abilene Christian,-0.9534798668003398
Abilene Christian,0.37146595040032937
Abilene Christian,-0.6292456891507449
Abilene Christian,0.383701156284953
Abilene Christian,3.5848681927481456
Abilene Christian,-0.24529646063896515
Air Force,1.13375649942816
Air Force,-1.0679429960999292
Air Force,-0.3386166498308676
Air Force,-0.890750885263077
Air Force,0.8749647494933567
Air Force,-1.5893449382252505
Air Force,0.6811950925654268
Air Force,-1.319925132940635
Air Force,0.3332215818405383
Air Force,1.3374296085475639
Air Force,1.6403787597759798
Air Force,-1.508692296016583
Air Force,1.8539633140956282
Akron,1.387791256752852
Akron,2.80893066263843
Akron,0.16384170161903572
Akron,-1.0027277441906342
Akron,-2.0915896961452862
Akron,-0.8318888222973979
Akron,-0.0499534718489314
Akron,-1.57873018992859
Akron,0.08352750744643422
Akron,-1.2631987686798922
Akron,1.3776722518478222
Akron,2.1229885428375743
Alabama,-1.4901741887689355
Alabama,2.196435965812298
Alabama,1.3589689992639702
Alabama,-1.0054001635315521
Alabama,-2.895680964207067
Alabama,-1.1538144986825238
Alabama,-1.8731387708886706
Alabama,1.3428692994591813
Alabama,1.2896469003023607
Alabama,-1.7517834019260796
Alabama,-2.7847350784961598
Alabama,4.965602494117011
Alabama,0.858521412055643
Alabama A&M,-6.685161054647821
Alabama A&M,-5.834348386964512
Alabama A&M,-2.657377324140807
Alabama A&M,-3.164831068332989
Alabama A&M,-1.3317963388711571
Alabama A&M,-1.558802217599547
Alabama A&M,0.858832850726438
Alabama A&M,-3.4791458038299914
Alabama A&M,-2.0475040864353224
Alabama A&M,-5.966064113694774
Alabama A&M,-3.560925119172501
Alabama A&M,-4.257385055283036
Alabama A&M,-3.2889631207270806
Alabama A&M,-2.3082789749711075
Alabama A&M,-1.6252405959089669
Alabama St.,-2.711375878809765
Alabama St.,-0.5235262452427177
Alabama St.,-0.004494498099347308
Alabama St.,-3.0797383299171806
Alabama St.,-2.893542991105507
Alabama St.,-0.059191754946672254
Alabama St.,-2.8369005913468395
Alabama St.,-2.49719800403454
Alabama St.,-1.3589974740467383
Alabama St.,-2.0798880490661973
Alabama St.,-0.3502710449634705
Alabama St.,-4.234460443276554
Alabama St.,-0.6085523983063978
Alabama St.,-3.4186469690260513
Alabama St.,-2.447221062158445
Alcorn,-5.151463348997799
Alcorn,-5.123669103894747
Alcorn,-6.746505266087669
Alcorn,-6.364937769969606
Alcorn,-4.333577140285427
Alcorn,-6.590079117305168
American,-0.026954593736132515
American,0.3724986933625988
American,1.5213051786755005
American,-1.126005979840304
American,2.80393664490318
American,-2.6063106510522855
American,1.2692797496927097
American,-1.8844418044252642
American,-3.8780911854535063
American,2.7849780477063613
American,-1.4725452390718585
American,-1.2181556584420294
American,2.919431115437321
App State,0.5494586259350933
App State,0.8637436661783731
App State,0.861267312032277
App State,-0.8421614526339504
App State,1.606372618118068
App State,0.6394243875755936
App State,-2.502021975383823
App State,1.3212720598654981
App State,1.0820794582831117
App State,1.433321662553758
App State,1.206315236078777
App State,-0.45727667306416686
App State,-0.7109483984363285
Arizona,-0.1971686414032059
Arizona,-1.0682960362463112
Arizona,-1.6480768540567912
Arizona,-0.9496415495391926
Arizona,0.8739287772072841
Arizona,-2.918216753508704
Arizona,1.8305882214307778
Arizona,1.9681561747300345
Arizona,-0.3218308578249686
Arizona,0.7978383288400948
Arizona,-2.2416043654923703
Arizona,-0.8731691109002302
Arizona,-2.475370414077241
Arizona St.,0.9361520389188283
Arizona St.,1.158668170359925
Arizona St.,-0.92186105357755
Arizona St.,-0.33416468772377583
Arizona St.,-0.7739325888846372
Arizona St.,0.004226938500077049
Arizona St.,-0.05423619585165995
Arizona St.,0.018389940950914396
Arizona St.,0.9918948078554997
Arizona St.,2.322307013185334
Arizona St.,0.1449138175571757
Arizona St.,1.6931964607229584
Arizona St.,-1.4361867702963131
Arizona St.,0.4361769026830604
Ark.-Monticello,-2.393311695572714
Ark.-Pine Bluff,-5.029450265662309
Ark.-Pine Bluff,-3.498087652554395
Ark.-Pine Bluff,-4.622896177243419
Ark.-Pine Bluff,-0.7445642618166416
Ark.-Pine Bluff,0.44215917125811344
Ark.-Pine Bluff,-2.3139833468713475
Ark.-Pine Bluff,-4.435603648832643
Ark.-Pine Bluff,-4.793161275767481
Ark.-Pine Bluff,-4.120404838919607
Ark.-Pine Bluff,-3.9193898597336694
Ark.-Pine Bluff,-4.551934008951946
Ark.-Pine Bluff,-5.742043292173202
Ark.-Pine Bluff,-3.014432903871362
Arkansas,-0.03481010754020342
Arkansas,0.9937643818424566
Arkansas,1.2624296739078475
Arkansas,0.16462512344982677
Arkansas,1.298104168677702
Arkansas,2.3348357375731092
