team,TotalZscore
Norfolk St. Spartans,-16.53367979
North Ala. Lions,1.286209734
North Carolina Tar Heels,3.806300339
North Dakota Fighting Hawks,-8.872624592
North Dakota St. Bison,5.979092634
North Florida Ospreys,-9.883976774
North Texas Mean Green,1.74622093
Northeastern Huskies,-15.57301404
Northern Ariz. Lumberjacks,-5.079986452
Northern Colo. Bears,-10.63427394
Northern Ky. Norse,11.53320806
Northwestern Wildcats,-2.800722878
Northwestern St. Lady Demons,9.026130521
Notre Dame Fighting Irish,1.817571187
Oakland Golden Grizzlies,16.69978448
Ohio Bobcats,10.54834343
Ohio St. Buckeyes,-7.18618678
Oklahoma Sooners,7.607662073
Old Dominion Monarchs,-1.352654885
Ole Miss Rebels,13.06658832
Omaha Mavericks,-7.145761865
Oral Roberts Golden Eagles,-5.792416953
Oregon Ducks,21.17686094
Oregon St. Beavers,-5.169809667
Pacific Tigers,15.26329829
Penn St. Nittany Lions,14.87113115
Pepperdine Waves,4.153396133
Pittsburgh Panthers,17.1912147
Portland Pilots,-23.28256399
Portland St. Vikings,8.492459608
Prairie View Lady Panthers,-11.76351135
Presbyterian Blue Hose,-3.643319354
Providence Friars,-15.97027326
Purdue Boilermakers,12.07294355
Purdue Fort Wayne Mastodons,-2.300445404
Queens (NC) Royals,-1.020332196
Quinnipiac Bobcats,-6.005514178
Radford Highlanders,-15.77628205
Rhode Island Rams,-8.018076722
Rice Owls,19.34648789
Rider Broncs,-15.50788735
Robert Morris Colonials,-3.260866608
Rutgers Scarlet Knights,0.813185967
SFA Ladyjacks,25.16813482
SIUE Cougars,9.304025108
SMU Mustangs,18.18761405
Sacramento St. Hornets,10.62820637
Sacred Heart Pioneers,-11.23967874
Saint Francis (PA) The Red Flash,-13.70270732
Saint Louis Billikens,0.143666794
Saint Mary's (CA) Gaels,17.16149725
Saint Peter's Peacocks,-43.72866086
Sam Houston Bearkats,0.043021225
Samford Bulldogs,-3.027038469
San Diego Toreros,9.51325448
San Diego St. Aztecs,-4.855168291
San Francisco Dons,0.437728673
San Jose St. Spartans,20.2569421
Santa Clara Broncos,0.597668081
Seattle U Redhawks,-4.944411502
Seton Hall Pirates,21.83910075
Siena Saints,-32.05457879
South Alabama Jaguars,21.23969624
South Carolina Gamecocks,14.10900344
South Carolina St. Lady Bulldogs,-54.08772244
South Dakota Coyotes,-4.027820887
South Dakota St. Jackrabbits,0.025762318
South Fla. Bulls,-9.509607144
Southeast Mo. St. Redhawks,11.07981056
Southeastern La. Lady Lions,10.74677299
Southern California Trojans,14.08243454
Southern Ill. Salukis,3.93310563
Southern Ind. Screaming Eagles,-1.60027588
Southern Miss. Golden Eagles,1.159347413
Southern Utah Thunderbirds,-8.593213066
St. John's (NY) Red Storm,-7.823315208
St. Thomas (MN) Tommies,11.71444491
Stanford Cardinal,19.45324945
Stetson Hatters,3.427494201
Stonehill Skyhawks,-42.07649346
Stony Brook Seawolves,8.552090655
Syracuse Orange,-33.47125527
TCU Horned Frogs,21.84672625
Tarleton St. Texans,13.64128668
Temple Owls,7.665699482
Tennessee Volunteers,12.13850154
Tennessee St. Lady Tigers,-8.419640378
Tennessee Tech Golden Eagles,-9.496943624
Tex. A&M-Commerce Lions,-15.28025309
Texas Longhorns,9.341341546
Texas A&M Aggies,16.36185002
Texas Southern Lady Tigers,-33.69380447
Texas St. Bobcats,7.384604692
Texas Tech Red Raiders,16.34499948
"The Citadel Bulldogs, Cadets",16.17392333
Toledo Rockets,13.30765845
Towson Tigers,16.59014078
Troy Trojans,-12.75166024
Tulane Green Wave,12.40831405
Tulsa Golden Hurricane,27.988981
UAB Blazers,-1.005320484
UAlbany Great Danes,-17.91867189
UC Davis Aggies,-4.434261303
UC Irvine Anteaters,2.466358736
UC Riverside Highlanders,-11.43283556
UC San Diego Tritons,7.648900113
UC Santa Barbara Gauchos,17.77287948
UCF Knights,-6.505909135
UCLA Bruins,-2.155615923
UConn Huskies,-18.44981461
UIC Flames,13.00519897
UIW Cardinals,11.34040191
ULM Warhawks,-12.40329817
UMBC Retrievers,12.04902177
UMES Hawks,-19.78003873
UNC Asheville Bulldogs,-17.85461951
UNC Greensboro Spartans,-35.02221039
UNCW Seahawks,3.013522432
UNI Panthers,25.13738906
UNLV Lady Rebels,-2.741228998
USC Upstate Spartans,2.610414318
UT Arlington Mavericks,22.60229367
UT Martin Skyhawks,-5.173312069
UTEP Miners,-2.124758114
UTRGV Vaqueros,-8.21158151
UTSA Roadrunners,15.65469838
Utah Utes,8.301628169
Utah St. Aggies,8.657424087
Utah Tech Trailblazers,-2.525217507
Utah Valley Wolverines,-8.830822901
VCU Rams,-5.645162885
Valparaiso Beacons,13.12013686
Villanova Wildcats,-7.005553461
Virginia Cavaliers,10.15007936
Virginia Tech Hokies,3.096873959
Wake Forest Demon Deacons,-2.417552084
Washington Huskies,-2.355713235
Washington St. Cougars,4.669877166
Weber St. Wildcats,14.86069896
West Virginia Mountaineers,7.555314796
Western Caro. Catamounts,1.839817925
Western Ill. Leathernecks,-2.000999079
Western Ky. Lady Toppers,12.08044943
Western Mich. Broncos,11.87694892
Wichita St. Shockers,8.727330011
William & Mary Tribe,-3.905447258
Winthrop Eagles,-1.053263234
Wisconsin Badgers,15.75851466
Wofford Terriers,7.208369287
Wright St. Raiders,15.77941934
Wyoming Cowgirls,15.76538965
Xavier Musketeers,-0.503401355
Youngstown St. Penguins,7.880178223
