opponent,TotaldefZscore
SFA,25.30975825
SIUE,9.296947673
SMU,18.30452634
Sacramento St.,10.72731289
Sacred Heart,-11.41444835
Saint Francis (PA),-13.48734226
Saint Louis,0.237039746
Saint Mary's (CA),17.10763468
Saint Peter's,-42.40871593
Sam Houston,0.106597557
Samford,-2.919601081
San Diego,9.757139892
San Diego St.,-4.642977368
San Francisco,0.548511497
San Jose St.,20.27714916
Santa Clara,0.90312832
Seattle U,-4.823066483
Seton Hall,22.32952239
Siena,-28.86402853
South Alabama,21.31111897
South Carolina,14.11829602
South Carolina St.,-53.78045658
South Dakota,-3.952819614
South Dakota St.,0.170337751
South Fla.,-9.346965312
Southeast Mo. St.,11.20238125
Southeastern La.,8.203845046
Southern California,14.05706321
Southern Ill.,3.952008288
Southern Ind.,-1.495401079
Southern Miss.,1.249297946
Southern U.,-8.819303346
Southern Utah,-8.484284741
St. John's (NY),-7.715188827
St. Thomas (MN),11.73358509
Stanford,19.57524297
Stetson,3.583775768
Stonehill,-32.01939163
Stony Brook,8.042466993
Syracuse,-31.40704128
TCU,21.87426082
Tarleton St.,13.66189315
Temple,9.0175997
Tennessee,12.05825356
Tennessee St.,-8.296949825
Tennessee Tech,-9.356316602
Tex. A&M-Commerce,-15.1548137
Texas,9.326027915
Texas A&M,16.38752134
Texas Southern,-33.44101014
Texas St.,7.499128952
Texas Tech,16.48712769
The Citadel,16.22441072
Toledo,13.52409631
Towson,13.89242927
Troy,-11.5982986
"Troy Columbia, S.C.",-1.07057006
Tulane,12.53084405
Tulsa,27.93392716
UAB,-0.863626992
UAlbany,-20.49071326
UC Davis,-4.399043575
UC Irvine,2.944933695
UC Riverside,-11.31954914
UC San Diego,7.656880371
UC Santa Barbara,19.44270432
"UC Santa Barbara San Diego, Calif.",-1.623485695
UCF,-6.496370408
UCLA,-1.98458415
UConn,-19.52787373
UIC,13.10414241
UIW,11.45008418
ULM,-11.59372456
UMBC,8.371708461
UMES,-19.60953549
UNC Asheville,-17.72369519
UNC Greensboro,-34.80882944
UNCW,3.173782742
UNI,25.19670608
UNLV,-2.460769472
USC Upstate,2.894755822
UT Arlington,22.71665357
UT Martin,-5.066104185
UTEP,-2.088716901
UTRGV,-6.880464562
UTSA,15.72739131
Utah,8.270321442
Utah St.,8.752188815
Utah Tech,-2.408378122
Utah Valley,-8.688180249
VCU,-7.250997165
"VCU Rock Hill, S.C.",1.727751906
Valparaiso,13.31225302
Villanova,-4.883024308
Virginia,9.50150216
Virginia Tech,3.169330775
Wake Forest,-2.289901691
Washington,-2.234685548
Washington St.,4.862190462
Weber St.,14.88368727
West Virginia,6.705314752
Western Caro.,1.85238487
Western Ill.,-1.908988048
Western Ky.,12.13918402
Western Mich.,11.91394658
Wichita St.,8.807285506
William & Mary,-2.430984528
Winthrop,-0.900344186
Wisconsin,15.9842968
Wofford,7.366461884
Wright St.,15.9463613
Wyoming,15.83078792
Xavier,-0.495167765
Yale,8.002604838
Youngstown St.,8.07680641
